LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,ParameterList
25,081109,205746,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.74.134 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.74.134']
26,081109,205749,997,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.123.132 : 57542 dest : /10.251.123.132 : 50010,d34b044d,Receiving block (BLK) src : /<*> : 57542 dest : /<*> : 50010,"['10.251.123.132', '10.251.123.132']"
27,081109,205754,952,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.89.155,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.89.155']
28,081109,205858,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock : /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. (BLK),dd34fa1c,BLOCK* NameSystem.allocateBlock : /user/root/rand/_temporary/_task_200811092030_0001_m_000487_0/part-00487. (BLK),[]
29,081109,205931,13,INFO,dfs.DataBlockScanner,Verification succeeded for (BLK),8f24aa61,Verification succeeded for (BLK),[]
30,081109,210022,1110,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.31.180,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.31.180']
31,081109,210037,1084,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.199.19 : 52622 dest : /10.251.199.19 : 50010,9af6791d,Receiving block (BLK) src : /<*> : 52622 dest : /<*> : 50010,"['10.251.199.19', '10.251.199.19']"
32,081109,210248,1138,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.65.203,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.65.203']
33,081109,210407,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.250.7.244 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.250.7.244']
34,081109,210458,1278,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.194.129 : 37476 dest : /10.251.194.129 : 50010,bbc5fb2a,Receiving block (BLK) src : /<*> : 37476 dest : /<*> : 50010,"['10.251.194.129', '10.251.194.129']"
35,081109,210551,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.250.6.191 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.250.6.191']
36,081109,210637,1283,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.203.80,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.203.80']
37,081109,210656,1334,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.126.83,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.126.83']
38,081109,210712,1333,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.214.225,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.214.225']
39,081109,210743,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.89.155 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.89.155']
40,081109,210801,1357,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.65.237 : 34085 dest : /10.251.65.237 : 50010,7b09659d,Receiving block (BLK) src : /<*> : 34085 dest : /<*> : 50010,"['10.251.65.237', '10.251.65.237']"
41,081109,210807,1408,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.75.79,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.75.79']
42,081109,210812,1395,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 3542967 from /10.251.195.33,44b092e1,Received block (BLK) of size 3542967 from /<*>,['10.251.195.33']
43,081109,210921,1452,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.250.17.225 : 51754 dest : /10.250.17.225 : 50010,2552876a,Receiving block (BLK) src : /<*> : 51754 dest : /<*> : 50010,"['10.250.17.225', '10.250.17.225']"
44,081109,210935,1458,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.38.214,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.38.214']
45,081109,211029,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.106.50 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.106.50']
46,081109,211038,1490,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block (BLK) terminating,2620ba37,PacketResponder 1 for block (BLK) terminating,[]
47,081109,211216,1504,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.250.5.161,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.250.5.161']
48,081109,211301,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.111.228 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.111.228']
49,081109,211353,1574,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block (BLK) terminating,302a2300,PacketResponder 0 for block (BLK) terminating,[]
50,081109,211403,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.202.134 : 50010 is added to (BLK) size 3549917,e3184865,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 3549917,['10.251.202.134']
51,081109,211453,1623,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.39.242,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.39.242']
52,081109,211528,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.110.8 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.110.8']
53,081109,211617,1635,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block (BLK) terminating,2620ba37,PacketResponder 1 for block (BLK) terminating,[]
54,081109,211918,1777,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block (BLK) terminating,2620ba37,PacketResponder 1 for block (BLK) terminating,[]
55,081109,212029,1814,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.250.7.244,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.250.7.244']
56,081109,212219,1885,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block (BLK) terminating,302a2300,PacketResponder 0 for block (BLK) terminating,[]
57,081109,212220,1946,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.38.53 : 51057 dest : /10.251.38.53 : 50010,c55c183b,Receiving block (BLK) src : /<*> : 51057 dest : /<*> : 50010,"['10.251.38.53', '10.251.38.53']"
58,081109,212245,27,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock : /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. (BLK),4f2b3c86,BLOCK* NameSystem.allocateBlock : /user/root/rand/_temporary/_task_200811092030_0001_m_001648_0/part-01648. (BLK),[]
59,081109,212317,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock : /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. (BLK),a7446e5b,BLOCK* NameSystem.allocateBlock : /user/root/rand/_temporary/_task_200811092030_0001_m_001866_0/part-01866. (BLK),[]
60,081109,212338,2007,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.214.67,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.214.67']
61,081109,212403,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.106.50 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.106.50']
62,081109,212440,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.198.196 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.198.196']
63,081109,212703,2053,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.250.6.191,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.250.6.191']
64,081109,212904,2174,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.70.211,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.70.211']
65,081109,212931,2211,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.193.175,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.193.175']
66,081109,213009,2207,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.71.97,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.71.97']
67,081109,213028,2206,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.31.5,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.31.5']
68,081109,213217,2267,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block (BLK) terminating,302a2300,PacketResponder 0 for block (BLK) terminating,[]
69,081109,213353,2313,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.75.228,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.75.228']
70,081109,213436,13,INFO,dfs.DataBlockScanner,Verification succeeded for (BLK),8f24aa61,Verification succeeded for (BLK),[]
71,081109,213506,2421,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.250.6.214 : 52922 dest : /10.250.6.214 : 50010,c2c83a97,Receiving block (BLK) src : /<*> : 52922 dest : /<*> : 50010,"['10.250.6.214', '10.250.6.214']"
72,081109,213510,2384,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block (BLK) terminating,302a2300,PacketResponder 0 for block (BLK) terminating,[]
73,081109,213837,19,INFO,dfs.FSDataset,Deleting block (BLK) file /mnt/hadoop/dfs/data/current/subdir5/(BLK),9ff947e7,Deleting block (BLK) file /mnt/hadoop/dfs/data/current/subdir5/(BLK),[]
74,081109,213847,2552,INFO,dfs.DataNode$DataXceiver,10.251.194.213 : 50010 Served block (BLK) to /10.251.203.80,f2fb025b,<*> : 50010 Served block (BLK) to /<*>,"['10.251.194.213', '10.251.203.80']"
75,081109,213907,2497,INFO,dfs.DataNode$DataXceiver,10.251.91.229 : 50010 Served block (BLK) to /10.251.91.229,f2fb025b,<*> : 50010 Served block (BLK) to /<*>,"['10.251.91.229', '10.251.91.229']"
76,081109,213908,2549,INFO,dfs.DataNode$DataXceiver,10.251.39.192 : 50010 Served block (BLK) to /10.251.39.192,f2fb025b,<*> : 50010 Served block (BLK) to /<*>,"['10.251.39.192', '10.251.39.192']"
77,081109,214009,2594,INFO,dfs.DataNode$DataXceiver,10.250.5.237 : 50010 Served block (BLK) to /10.251.43.147,f2fb025b,<*> : 50010 Served block (BLK) to /<*>,"['10.250.5.237', '10.251.43.147']"
78,081109,214043,2561,WARN,dfs.DataNode$DataXceiver,10.251.30.85 : 50010 : Got exception while serving (BLK) to /10.251.90.64 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
79,081109,214402,2677,WARN,dfs.DataNode$DataXceiver,10.251.126.255 : 50010 : Got exception while serving (BLK) to /10.251.91.159 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
80,081109,214524,2633,INFO,dfs.DataNode$DataXceiver,10.251.71.68 : 50010 Served block (BLK) to /10.251.199.150,f2fb025b,<*> : 50010 Served block (BLK) to /<*>,"['10.251.71.68', '10.251.199.150']"
81,081109,214529,2747,WARN,dfs.DataNode$DataXceiver,10.251.123.132 : 50010 : Got exception while serving (BLK) to /10.251.38.214 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
82,081109,214910,2848,WARN,dfs.DataNode$DataXceiver,10.250.13.188 : 50010 : Got exception while serving (BLK) to /10.251.194.245 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
83,081109,214919,2899,INFO,dfs.DataNode$DataXceiver,10.251.214.32 : 50010 Served block (BLK) to /10.251.215.70,f2fb025b,<*> : 50010 Served block (BLK) to /<*>,"['10.251.214.32', '10.251.215.70']"
84,081109,215136,2868,WARN,dfs.DataNode$DataXceiver,10.251.199.19 : 50010 : Got exception while serving (BLK) to /10.251.106.37 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
85,081109,215259,2934,WARN,dfs.DataNode$DataXceiver,10.250.9.207 : 50010 : Got exception while serving (BLK) to /10.250.9.207 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
86,081109,215702,3022,WARN,dfs.DataNode$DataXceiver,10.251.202.134 : 50010 : Got exception while serving (BLK) to /10.251.126.5 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
87,081109,215734,3055,INFO,dfs.DataNode$DataXceiver,10.250.6.214 : 50010 Served block (BLK) to /10.251.43.115,f2fb025b,<*> : 50010 Served block (BLK) to /<*>,"['10.250.6.214', '10.251.43.115']"
88,081109,220032,3137,WARN,dfs.DataNode$DataXceiver,10.250.14.196 : 50010 : Got exception while serving (BLK) to /10.251.38.53 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
89,081109,220403,3148,WARN,dfs.DataNode$DataXceiver,10.251.107.227 : 50010 : Got exception while serving (BLK) to /10.251.109.209 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
90,081109,220528,3174,INFO,dfs.DataNode$DataXceiver,10.251.203.166 : 50010 Served block (BLK) to /10.251.107.98,f2fb025b,<*> : 50010 Served block (BLK) to /<*>,"['10.251.203.166', '10.251.107.98']"
91,081109,221105,3338,WARN,dfs.DataNode$DataXceiver,10.251.90.64 : 50010 : Got exception while serving (BLK) to /10.251.90.239 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
92,081109,221151,3361,WARN,dfs.DataNode$DataXceiver,10.250.10.144 : 50010 : Got exception while serving (BLK) to /10.250.11.100 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
93,081109,222040,3463,WARN,dfs.DataNode$DataXceiver,10.251.71.146 : 50010 : Got exception while serving (BLK) to /10.251.197.161 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
94,081109,222041,3390,WARN,dfs.DataNode$DataXceiver,10.251.67.113 : 50010 : Got exception while serving (BLK) to /10.250.7.96 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
95,081109,222342,3462,WARN,dfs.DataNode$DataXceiver,10.251.74.79 : 50010 : Got exception while serving (BLK) to /10.251.74.134 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
96,081109,222650,3459,WARN,dfs.DataNode$DataXceiver,10.251.214.112 : 50010 : Got exception while serving (BLK) to /10.251.214.112 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
97,081109,223211,3544,INFO,dfs.DataNode$DataXceiver,10.251.111.80 : 50010 Served block (BLK) to /10.251.42.246,f2fb025b,<*> : 50010 Served block (BLK) to /<*>,"['10.251.111.80', '10.251.42.246']"
98,081109,223910,3540,WARN,dfs.DataNode$DataXceiver,10.251.43.210 : 50010 : Got exception while serving (BLK) to /10.251.199.86 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
99,081109,224054,3560,WARN,dfs.DataNode$DataXceiver,10.251.126.255 : 50010 : Got exception while serving (BLK) to /10.251.39.144 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
100,081109,224234,3638,WARN,dfs.DataNode$DataXceiver,10.251.73.220 : 50010 : Got exception while serving (BLK) to /10.251.203.246 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
101,081109,224420,3666,WARN,dfs.DataNode$DataXceiver,10.251.73.188 : 50010 : Got exception while serving (BLK) to /10.250.6.191 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
102,081109,224741,3699,WARN,dfs.DataNode$DataXceiver,10.251.35.1 : 50010 : Got exception while serving (BLK) to /10.251.122.38 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
103,081109,230110,3647,WARN,dfs.DataNode$DataXceiver,10.251.90.134 : 50010 : Got exception while serving (BLK) to /10.251.110.160 : ,fbee9fd0,<*> : 50010 : Got exception while serving (BLK) to /<*> :,[]
104,081109,232200,3856,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.39.64,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.39.64']
105,081109,232324,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.107.19 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.107.19']
106,081109,232346,3820,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.250.10.213 : 56574 dest : /10.250.10.213 : 50010,fe7948a3,Receiving block (BLK) src : /<*> : 56574 dest : /<*> : 50010,"['10.250.10.213', '10.250.10.213']"
107,081109,232639,3792,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block (BLK) terminating,302a2300,PacketResponder 0 for block (BLK) terminating,[]
108,081109,232828,3875,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.250.10.6,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.250.10.6']
109,081109,232829,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.110.68 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.110.68']
110,081109,232833,32,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.75.79 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.75.79']
111,081109,232923,3792,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.31.5,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.31.5']
112,081109,232926,3783,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.111.209 : 57419 dest : /10.251.111.209 : 50010,2bee2da2,Receiving block (BLK) src : /<*> : 57419 dest : /<*> : 50010,"['10.251.111.209', '10.251.111.209']"
113,081109,233108,3872,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block (BLK) terminating,302a2300,PacketResponder 0 for block (BLK) terminating,[]
114,081109,233356,3917,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.111.37 : 35327 dest : /10.251.111.37 : 50010,98e23dd4,Receiving block (BLK) src : /<*> : 35327 dest : /<*> : 50010,"['10.251.111.37', '10.251.111.37']"
115,081109,233753,3950,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.30.85 : 58995 dest : /10.251.30.85 : 50010,2f39ed5d,Receiving block (BLK) src : /<*> : 58995 dest : /<*> : 50010,"['10.251.30.85', '10.251.30.85']"
116,081109,233835,4139,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.70.5 : 34703 dest : /10.251.70.5 : 50010,7fe4ee92,Receiving block (BLK) src : /<*> : 34703 dest : /<*> : 50010,"['10.251.70.5', '10.251.70.5']"
117,081109,233836,4061,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.126.255 : 41104 dest : /10.251.126.255 : 50010,9f3eb4d8,Receiving block (BLK) src : /<*> : 41104 dest : /<*> : 50010,"['10.251.126.255', '10.251.126.255']"
118,081109,233849,4087,INFO,dfs.DataNode$PacketResponder,Received block (BLK) of size 67108864 from /10.251.106.37,f2891995,Received block (BLK) of size 67108864 from /<*>,['10.251.106.37']
119,081109,234027,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock : blockMap updated : 10.251.31.85 : 50010 is added to (BLK) size 67108864,6f0ee124,BLOCK* NameSystem.addStoredBlock : blockMap updated : <*> : 50010 is added to (BLK) size 67108864,['10.251.31.85']
120,081109,234107,4261,INFO,dfs.DataNode$DataXceiver,Receiving block (BLK) src : /10.251.65.203 : 36289 dest : /10.251.65.203 : 50010,3cb21cbb,Receiving block (BLK) src : /<*> : 36289 dest : /<*> : 50010,"['10.251.65.203', '10.251.65.203']"
121,081109,234110,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock : /user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0/part-00296. (BLK),a3062e94,BLOCK* NameSystem.allocateBlock : /user/root/sortrand/_temporary/_task_200811092030_0002_r_000296_0/part-00296. (BLK),[]
122,081109,234111,4288,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block (BLK) terminating,2620ba37,PacketResponder 1 for block (BLK) terminating,[]
